iteration,profit,cycle_length,centrality
0,1.8574290915496163,4,8.772413793103448
1,1.8572048524915714,4,8.739205526770293
2,1.8550891992164624,4,8.709342560553633
3,3.197535734705545,4,8.66204506065858
4,3.1620553305790753,4,8.64236111111111
5,284925.9443310955,3,8.619130434782608
6,4.321682614954693,4,7.2822299651567945
7,9.565869699253266,4,7.2635253054101225
8,53148.59474161374,4,7.248251748251748
9,15.080775065914212,4,7.148861646234676
10,14.236723802143624,4,7.140350877192983
11,15022.126562842737,4,7.07908611599297
12,30491.4202986894,4,6.915492957746479
13,56572.911859713866,4,6.864197530864198
14,65076.28185756022,4,6.795053003533569
15,75735.86723961658,3,6.729203539823009
16,214869138.87514338,7,4.99290780141844
17,138.0936777143586,4,4.380106571936057
18,104.17677608686083,4,4.362989323843417
19,2567.642556571876,8,4.349376114081997
20,442.2495597929372,8,4.335714285714285
21,317.45300636219235,6,4.3184257602862255
22,225.8915257701182,6,4.304659498207886
23,225.58484279204646,6,4.301615798922801
24,225.0861344069817,6,4.294964028776978
25,224.68313279360845,6,4.284684684684684
26,215.18685522534943,6,4.277978339350181
27,45.19906167592829,4,4.260397830018083
28,5.795619499828453,4,4.25
29,5.793594810166388,4,4.243194192377495
30,15768.245686105596,4,4.2327272727272724
31,1313.96367475745,6,4.229508196721311
32,1348.7424485911433,8,4.218978102189781
33,1.1440303469645239,4,4.204753199268739
34,6181.9157207803955,8,4.106227106227106
35,1082.3632410703553,8,4.106422018348624
36,1078.7093713688798,8,4.099264705882353
37,1076.1484425331485,8,4.095764272559853
38,1.0052385688138525,4,4.081180811808118
39,1.0047323866141786,4,4.073937153419593
40,1.0046941137577243,4,4.066666666666666
41,1.0044602082939915,4,4.055658627087198
42,1.0041288910959394,4,4.044609665427509
43,1.0041209875101265,4,4.033519553072626
44,1.0029799045921344,4,4.018656716417911
45,1.0027301111106488,4,4.014953271028038
46,1.0025942806017119,4,4
47,1.0037842069870708,4,3.9887429643527206
48,1070.6001965988419,6,3.973684210526316
49,1070.1142228373353,5,3.969868173258004
50,105382.81486991994,6,3.8452830188679243
51,84407.49270799542,5,3.8412098298676747
52,1.0572414796582927,4,2.2083333333333335
53,118.44224592441137,4,2.204933586337761
54,3.178826423106963,3,2.2015209125475286
55,113.40256841287066,3,1.177142857142857
